text_comment,publish_data,sentiment,score
"Невозможно смотреть технические вопросы когда такая зайка рассказывает, лучше крутите больше видео без своего образа 😊😊😊",2023-12-01T01:02:16Z,neutral,0.8751587867736816
хочу быть твоим джуниором,2023-11-28T23:58:40Z,neutral,0.6435942649841309
постройнела🥰,2023-11-27T15:57:48Z,neutral,0.4750782251358032
Супер 💥,2023-11-27T13:05:04Z,positive,0.9925204515457153
Отписываюсь от канала...,2023-11-27T12:40:54Z,neutral,0.8234341144561768
"Разачарован уроком, не понятно api YouTube работает только по отношении к своим роликам или к любым?   Плохо видно код, тяжко перепечатывать.  В коде часто исправляются опечатки и неточности и делается это так быстро что не успеваешь обратить на это внимание",2023-11-27T12:40:38Z,neutral,0.6811333298683167
Где код к видео? Получаю ошибку 500,2023-11-27T11:09:49Z,neutral,0.9025143384933472
Больше американизмов в речи!!!! Больше!!!!!! БОЛЬШЕ!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2023-11-27T08:11:20Z,negative,0.759306013584137
Почему апи ключ не замазали?,2023-11-26T23:16:19Z,neutral,0.8287255764007568
Красотка и умничка! И глазу приятно и мозгу разминка! Спасибо!,2023-11-26T19:51:12Z,positive,0.9921693205833435
0:07 анализировать анализ. 😂😂😂,2023-11-26T16:17:43Z,neutral,0.9001852869987488
"Спасибо за видео!  Возник вопрос, работа модели это же cpu bound задача и получается пока API  выполняет этот запрос, игнорирует остальные запросы? Обычно post запросы используются, когда мы передаём какие-либо данные на сервер, а  get запросы, когда хотим получить.",2023-11-26T13:49:05Z,neutral,0.7862656116485596
Мощно-полезно),2023-11-26T13:21:12Z,positive,0.8919801115989685
"Здравствуйте. Подскажите, пожалуйста, можно ли создать аппку, которая будет обладать чувством юмора?  Например, в вашем примере отфильтровать по самым смешным комментариям.",2023-11-26T13:07:17Z,neutral,0.8215868473052979
Супер видео! Заинтересовал Hugging Face. Было бы круто увидеть больше о нем в следующих роликах! 👍,2023-11-26T12:48:41Z,positive,0.9842871427536011
Голос ангельский,2023-11-26T12:34:23Z,neutral,0.7884364724159241
"Анастасия, как всегда, всё понятно рассказали. Спасибо!",2023-11-26T12:27:01Z,positive,0.9483796954154968
Большое спасибо за очередной видос!,2023-11-26T12:26:37Z,positive,0.8913893699645996
В гитхаб - (лаб) можешь закинуть код ? :),2023-11-26T12:03:46Z,neutral,0.8596287369728088
Спасибо за видос. А что за IDEшка ?,2023-11-26T11:35:25Z,neutral,0.5026861429214478
Было бы интересно посмотреть урок как сделать приложение парсер на питоне с интерфейсом,2023-11-26T10:43:58Z,neutral,0.89149010181427
Кайф!,2023-11-26T10:43:54Z,positive,0.7305277585983276
